Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bulgaria,BGR,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,237,231,224,217,209,197,183,167,151,135,122,111,101,95,92,90,87,85,82,79,76,73,71,69,67,64,61,58,54,51,48,
Bahrain,BHR,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,26,26,26,26,26,26,26,26,26,25,25,24,23,22,21,20,20,20,20,20,19,19,18,18,19,19,19,19,19,18,18,
"Bahamas, The",BHS,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,16,16,16,16,16,17,17,17,17,16,15,14,14,13,12,12,11,11,10,10,10,9,9,8,8,7,6,45,5,5,
Bosnia and Herzegovina,BIH,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,96,1126,1061,74,193,62,58,53,48,43,39,37,35,34,32,30,28,26,25,23,22,22,21,21,20,20,19,19,18,18,17,
Belarus,BLR,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,348,342,331,315,295,273,250,228,205,185,166,149,134,124,117,112,108,104,100,96,92,88,85,83,80,76,73,70,67,64,61,
Belize,BLZ,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,14,14,13,13,12,12,11,11,10,10,10,9,9,
Bermuda,BMU,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412,1370,1330,1291,1256,1221,1186,1153,1118,1083,1048,1013,978,945,913,884,852,819,786,752,722,697,675,653,634,616,596,578,561,545,527,508,
Brazil,BRA,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7137,6924,6734,6559,6386,6204,6015,5818,5626,5459,5321,5206,5106,5018,4927,4826,4715,4593,4453,4307,4167,4026,3881,3740,3605,3471,3343,3217,3088,2957,2829,2695,
Barbados,BRB,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,
